Seed,Status,Time(min),AACC,BWT,IM
1,Success,0.6673709114392599,0.2727272709210713,-0.6363636404275894,0.0
2,Success,0.667407488822937,0.3030303120613098,-1.0,0.0
3,Success,0.6674136042594909,0.3030303120613098,-0.5454545319080353,0.0
4,Success,0.6674169778823853,0.0,-1.0,0.0
5,Success,0.3336934089660645,0.3333333333333333,-0.9545454680919648,0.0
