Seed,Status,Time(min),0_acc,1_acc,2_acc,avg_acc
1,Success,0.7,0.0,0.0,0.8181818127632141,0.27272727092107135
2,Success,0.7,0.0,0.0,0.9090909361839294,0.3030303120613098
3,Success,0.7,0.0,0.9090909361839294,0.0,0.3030303120613098
4,Success,0.7,0.0,0.0,0.0,0.0
5,Success,0.3,0.0,0.0,1.0,0.3333333333333333
