bag_loss,batch,buffer_size,epoch,inst_loss,loss,n_patches_in_buffer,step,train_loss_epoch,val_acc_epoch,val_loss_epoch
0.7118185758590698,0,,0,1.2997063398361206,0.8881849050521851,,0,,,
0.6873507499694824,1,,0,1.2706342935562134,0.8623358011245728,,1,,,
0.6929790377616882,2,,0,1.2744907140731812,0.8674325346946716,,2,,,
0.6873266100883484,3,,0,1.2840900421142578,0.8663556575775146,,3,,,
0.6620574593544006,4,,0,1.2734125852584839,0.8454639911651611,,4,,,
0.6676485538482666,5,,0,1.267669677734375,0.8476548790931702,,5,,,
0.6404837369918823,6,,0,1.2761588096618652,0.8311862945556641,,6,,,
0.770005464553833,7,,0,1.313145637512207,0.9329475164413452,,7,,,
0.779495358467102,8,,0,1.3137388229370117,0.9397684335708618,,8,,,
0.7720692157745361,9,,0,1.314929723739624,0.9349273443222046,,9,,,
0.7824535965919495,10,,0,1.318471074104309,0.9432588815689087,,10,,,
,,,0,,,,11,0.887228786945343,1.0,0.7957432270050049
0.6127976775169373,0,,1,1.2310818433761597,0.7982829213142395,,12,,,
0.5929346084594727,1,,1,1.2106547355651855,0.7782506942749023,,13,,,
0.5868753790855408,2,,1,1.2351129055023193,0.7813466787338257,,14,,,
0.842765748500824,3,,1,1.2809728384017944,0.9742279052734375,,15,,,
0.5863032937049866,4,,1,1.2075161933898926,0.7726671695709229,,16,,,
0.6152570247650146,5,,1,1.2246426343917847,0.7980726957321167,,17,,,
0.7904303073883057,6,,1,1.300253987312317,0.9433774352073669,,18,,,
0.5978217720985413,7,,1,1.191514015197754,0.7759294509887695,,19,,,
0.8024429082870483,8,,1,1.2762653827667236,0.9445896148681641,,20,,,
0.8429408073425293,9,,1,1.2561801671981812,0.9669126272201538,,21,,,
0.8113367557525635,10,,1,1.2658393383026123,0.9476875066757202,,22,,,
,,,1,,,,23,0.8619403839111328,1.0,0.772265613079071
,,42,,,,1936,24,,,
