exp_id,success,max_outer_it,max_inner_it,lr_weight,top_k,train_mismatch_rate,val_mismatch_rate,stage1_test_acc,stage1_test_auc,stage1_test_f1,stage2_test_acc,stage2_test_auc,stage2_test_f1,acc_improvement,auc_improvement,f1_improvement
gpu2_outer15_inner7_lr0.1_k5,True,15,7,0.1,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu7_outer20_inner3_lr0.08_k4,True,20,3,0.08,4,43.15,38.8,0.998,0.9978,0.998,0.998,0.9989,0.998,0.0,0.0010999999999999899,0.0
gpu0_outer20_inner3_lr0.08_k5,True,20,3,0.08,5,34.75,30.2,0.998,0.9978,0.998,0.998,0.9988,0.998,0.0,0.0010000000000000009,0.0
gpu1_outer20_inner3_lr0.1_k3,True,20,3,0.1,3,49.15,45.4,0.998,0.9978,0.998,0.998,0.9987,0.998,0.0,0.0009000000000000119,0.0
gpu2_outer20_inner3_lr0.1_k4,True,20,3,0.1,4,43.15,38.8,0.998,0.9978,0.998,0.998,0.9989,0.998,0.0,0.0010999999999999899,0.0
gpu3_outer20_inner3_lr0.1_k5,True,20,3,0.1,5,34.75,30.2,0.998,0.9978,0.998,0.998,0.9988,0.998,0.0,0.0010000000000000009,0.0
gpu5_outer20_inner5_lr0.05_k4,True,20,5,0.05,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu7_outer20_inner5_lr0.08_k3,True,20,5,0.08,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu0_outer20_inner5_lr0.08_k4,True,20,5,0.08,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu2_outer20_inner5_lr0.1_k3,True,20,5,0.1,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu1_outer20_inner5_lr0.08_k5,True,20,5,0.08,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu3_outer20_inner5_lr0.1_k4,True,20,5,0.1,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu4_outer20_inner5_lr0.05_k3,True,20,5,0.05,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu6_outer20_inner5_lr0.05_k5,True,20,5,0.05,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu5_outer20_inner7_lr0.05_k3,True,20,7,0.05,3,48.55,47.4,0.998,0.9978,0.998,0.998,0.998,0.998,0.0,0.00019999999999997797,0.0
gpu0_outer20_inner7_lr0.08_k3,True,20,7,0.08,3,48.55,47.4,0.998,0.9978,0.998,0.998,0.9983,0.998,0.0,0.0004999999999999449,0.0
gpu1_outer20_inner7_lr0.08_k4,True,20,7,0.08,4,41.75,40.4,0.998,0.9978,0.998,0.998,0.9986,0.998,0.0,0.0008000000000000229,0.0
gpu2_outer20_inner7_lr0.08_k5,True,20,7,0.08,5,33.25,31.4,0.998,0.9978,0.998,0.998,0.997,0.998,0.0,-0.0008000000000000229,0.0
gpu4_outer20_inner5_lr0.1_k5,True,20,5,0.1,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu3_outer20_inner7_lr0.1_k3,True,20,7,0.1,3,48.55,47.4,0.998,0.9978,0.998,0.998,0.9983,0.998,0.0,0.0004999999999999449,0.0
gpu6_outer20_inner7_lr0.05_k4,True,20,7,0.05,4,41.75,40.4,0.998,0.9978,0.998,0.998,0.9981,0.998,0.0,0.00029999999999996696,0.0
gpu7_outer20_inner7_lr0.05_k5,True,20,7,0.05,5,33.25,31.4,0.998,0.9978,0.998,0.998,0.997,0.998,0.0,-0.0008000000000000229,0.0
gpu0_outer30_inner3_lr0.05_k5,True,30,3,0.05,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu1_outer30_inner3_lr0.08_k3,True,30,3,0.08,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu6_outer30_inner3_lr0.05_k3,True,30,3,0.05,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu7_outer30_inner3_lr0.05_k4,True,30,3,0.05,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu4_outer20_inner7_lr0.1_k4,True,20,7,0.1,4,41.75,40.4,0.998,0.9978,0.998,0.998,0.9981,0.998,0.0,0.00029999999999996696,0.0
gpu5_outer20_inner7_lr0.1_k5,True,20,7,0.1,5,33.25,31.4,0.998,0.9978,0.998,0.998,0.9989,0.998,0.0,0.0010999999999999899,0.0
gpu2_outer30_inner3_lr0.08_k4,True,30,3,0.08,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu3_outer30_inner3_lr0.08_k5,True,30,3,0.08,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu4_outer30_inner3_lr0.1_k3,True,30,3,0.1,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu5_outer30_inner3_lr0.1_k4,True,30,3,0.1,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu6_outer30_inner3_lr0.1_k5,True,30,3,0.1,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu0_outer30_inner5_lr0.05_k4,True,30,5,0.05,4,41.85,39.8,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu1_outer30_inner5_lr0.05_k5,True,30,5,0.05,5,33.35,32.2,0.998,0.9978,0.998,0.998,0.9988,0.998,0.0,0.0010000000000000009,0.0
gpu7_outer30_inner5_lr0.05_k3,True,30,5,0.05,3,48.5,46.6,0.998,0.9978,0.998,0.998,0.9983,0.998,0.0,0.0004999999999999449,0.0
gpu2_outer30_inner5_lr0.08_k3,True,30,5,0.08,3,48.5,46.6,0.998,0.9978,0.998,0.998,0.9983,0.998,0.0,0.0004999999999999449,0.0
gpu3_outer30_inner5_lr0.08_k4,True,30,5,0.08,4,41.85,39.8,0.998,0.9978,0.998,0.998,0.9985,0.998,0.0,0.0007000000000000339,0.0
gpu4_outer30_inner5_lr0.08_k5,True,30,5,0.08,5,33.35,32.2,0.998,0.9978,0.998,0.998,0.9973,0.998,0.0,-0.000500000000000056,0.0
gpu5_outer30_inner5_lr0.1_k3,True,30,5,0.1,3,48.5,46.6,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu6_outer30_inner5_lr0.1_k4,True,30,5,0.1,4,41.85,39.8,0.998,0.9978,0.998,0.998,0.9985,0.998,0.0,0.0007000000000000339,0.0
gpu7_outer30_inner5_lr0.1_k5,True,30,5,0.1,5,33.35,32.2,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu0_outer30_inner7_lr0.05_k3,True,30,7,0.05,3,49.2,47.0,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu1_outer30_inner7_lr0.05_k4,True,30,7,0.05,4,43.6,39.6,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu2_outer30_inner7_lr0.05_k5,True,30,7,0.05,5,34.15,31.8,0.998,0.9978,0.998,0.998,0.9965,0.998,0.0,-0.0012999999999999678,0.0
gpu3_outer30_inner7_lr0.08_k3,True,30,7,0.08,3,49.2,47.0,0.998,0.9978,0.998,0.998,0.9982,0.998,0.0,0.00039999999999995595,0.0
gpu4_outer30_inner7_lr0.08_k4,True,30,7,0.08,4,43.6,39.6,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu5_outer30_inner7_lr0.08_k5,True,30,7,0.08,5,34.15,31.8,0.998,0.9978,0.998,0.998,0.9965,0.998,0.0,-0.0012999999999999678,0.0
gpu6_outer30_inner7_lr0.1_k3,True,30,7,0.1,3,49.2,47.0,0.998,0.9978,0.998,0.998,0.9982,0.998,0.0,0.00039999999999995595,0.0
gpu0_outer30_inner7_lr0.1_k5,True,30,7,0.1,5,34.15,31.8,0.998,0.9978,0.998,0.998,0.9967,0.998,0.0,-0.0010999999999999899,0.0
gpu7_outer30_inner7_lr0.1_k4,True,30,7,0.1,4,43.6,39.6,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
