attn_loss,bag_loss,batch,buffer_size,epoch,inst_loss,logits_loss,loss,n_patches_in_buffer,step,train_loss_epoch,val_acc_epoch,val_loss_epoch
,1.7567976713180542,0,,0,1.1707178354263306,,1.580973744392395,,0,,,
0.0001021847128868103,1.7618638277053833,0,,0,1.1691440343856812,1.6391277313232422e-05,1.5841662883758545,,1,,,
,1.7083852291107178,1,,0,1.1456286907196045,,1.5395582914352417,,2,,,
,1.884130597114563,2,,0,1.0640910863876343,,1.6381187438964844,,3,,,
5.4582953453063965e-05,1.7681339979171753,2,,0,1.1838157176971436,0.00036209821701049805,1.5932552814483643,,4,,,
,1.873757004737854,3,,0,0.9865339398384094,,1.6075900793075562,,5,,,
,1.8499315977096558,4,,0,1.0480740070343018,,1.6093744039535522,,6,,,
5.076080560684204e-05,1.7343469858169556,4,,0,1.1368464231491089,0.0019097328186035156,1.5570573806762695,,7,,,
,1.843773603439331,5,,0,1.0852675437927246,,1.6162217855453491,,8,,,
,1.6650488376617432,6,,0,1.0431913137435913,,1.4784915447235107,,9,,,
0.0001357048749923706,1.7377605438232422,6,,0,1.0540004968643188,0.004475712776184082,1.5372438430786133,,10,,,
,1.8160297870635986,7,,0,0.9938351511955261,,1.5693713426589966,,11,,,
,1.6755702495574951,8,,0,1.0775519609451294,,1.4961647987365723,,12,,,
0.00011099129915237427,1.748791217803955,8,,0,1.097303867340088,0.0036224722862243652,1.5570785999298096,,13,,,
,1.6702462434768677,9,,0,0.9609929919242859,,1.4574702978134155,,14,,,
,1.765059471130371,10,,0,0.953686535358429,,1.521647572517395,,15,,,
8.994340896606445e-05,1.733799695968628,10,,0,1.0489864349365234,0.005195736885070801,1.5336414575576782,,16,,,
,,,,0,,,,,17,1.5574957132339478,0.4545454680919647,1.4891327619552612
,1.7805254459381104,0,,1,0.9986379742622375,,1.545959234237671,,18,,,
7.959455251693726e-05,1.7287858724594116,0,,1,1.0792962312698364,0.0062596797943115234,1.5402783155441284,,19,,,
,1.640784502029419,1,,1,0.9908037781715393,,1.4457902908325195,,20,,,
,1.7727771997451782,2,,1,0.8672849535942078,,1.5011295080184937,,21,,,
5.254894495010376e-05,1.754155158996582,2,,1,1.1392232179641724,0.004933774471282959,1.5746619701385498,,22,,,
,1.750510334968567,3,,1,0.8138677477836609,,1.469517469406128,,23,,,
,1.6325215101242065,4,,1,0.9724610447883606,,1.4345033168792725,,24,,,
9.656697511672974e-05,1.7712260484695435,4,,1,1.0577558279037476,0.007550418376922607,1.5648319721221924,,25,,,
,1.61477530002594,5,,1,1.043958306312561,,1.4435302019119263,,26,,,
,1.7441661357879639,6,,1,0.8683252334594727,,1.4814138412475586,,27,,,
0.00023556500673294067,2.364821434020996,6,,1,1.029847502708435,0.014962255954742432,1.9795269966125488,,28,,,
,1.6103781461715698,7,,1,0.9220633506774902,,1.403883695602417,,29,,,
,1.7190172672271729,8,,1,0.8248479962348938,,1.4507664442062378,,30,,,
0.00011360645294189453,1.718153953552246,8,,1,1.0054560899734497,0.01222461462020874,1.5166828632354736,,31,,,
,1.621159553527832,9,,1,0.7279038429260254,,1.3531827926635742,,32,,,
,1.7016438245773315,10,,1,0.8625872731208801,,1.4499268531799316,,33,,,
3.838539123535156e-05,2.2210264205932617,10,,1,1.097772240638733,0.014637410640716553,1.898725986480713,,34,,,
,,,,1,,,,,35,1.5326064825057983,0.4545454680919647,1.3935047388076782
,,,42,,,,,1956,36,,,
