lr,Status,Time(min),Error
"[1e-4,1e-4,1e-4]",Failed,0.16689639886220295,N/A
"[1e-5,1e-5,1e-5]",Failed,0.16688043276468914,N/A
"[5e-5,5e-5,5e-5]",Failed,0.16686602433522543,N/A
