attn_loss,bag_loss,batch,buffer_size,epoch,inst_loss,logits_loss,loss,n_patches_in_buffer,step,train_loss_epoch,val_acc_epoch,val_loss_epoch
,1.760812759399414,0,,0,1.149030089378357,,1.5772778987884521,,0,,,
6.416440010070801e-05,1.7906473875045776,0,,0,1.1923269033432007,2.86102294921875e-05,1.6112439632415771,,1,,,
,1.70112943649292,1,,0,1.1521683931350708,,1.5364410877227783,,2,,,
,1.788400411605835,2,,0,1.0714753866195679,,1.5733228921890259,,3,,,
6.555020809173584e-05,1.6523816585540771,2,,0,1.1148121356964111,0.0011044740676879883,1.4922808408737183,,4,,,
,1.762004017829895,3,,0,1.1123439073562622,,1.567106008529663,,5,,,
,1.7766250371932983,4,,0,1.074679970741272,,1.5660415887832642,,6,,,
7.75754451751709e-05,1.7539632320404053,4,,0,1.1444042921066284,0.001163780689239502,1.5723369121551514,,7,,,
,1.727885127067566,5,,0,1.0977505445480347,,1.5388448238372803,,8,,,
,1.6675200462341309,6,,0,1.086071252822876,,1.4930853843688965,,9,,,
8.153170347213745e-05,2.1340279579162598,6,,0,1.1655555963516235,0.002205371856689453,1.8457732200622559,,10,,,
,1.6911457777023315,7,,0,1.0631874799728394,,1.502758264541626,,11,,,
,1.7137995958328247,8,,0,1.1330238580703735,,1.5395668745040894,,12,,,
7.419288158416748e-05,1.7695907354354858,8,,0,1.1367088556289673,0.0015744566917419434,1.5813748836517334,,13,,,
,1.653836965560913,9,,0,1.06011164188385,,1.4757194519042969,,14,,,
,1.6701093912124634,10,,0,1.034950852394104,,1.4795618057250977,,15,,,
8.027255535125732e-05,2.098790168762207,10,,0,1.1344329118728638,0.004501640796661377,1.8140647411346436,,16,,,
,,,,0,,,,,17,1.5745176076889038,0.4545454680919647,1.4877456426620483
,1.6846070289611816,0,,1,1.0460494756698608,,1.4930397272109985,,18,,,
4.188716411590576e-05,2.0998475551605225,0,,1,1.134865164756775,0.0043329596519470215,1.814727544784546,,19,,,
,1.6121090650558472,1,,1,1.0311815738677979,,1.437830924987793,,20,,,
,1.6678402423858643,2,,1,1.0567702054977417,,1.4845192432403564,,21,,,
0.000122755765914917,1.7308162450790405,2,,1,1.0884779691696167,0.004184544086456299,1.5424220561981201,,22,,,
,1.6401727199554443,3,,1,1.040424108505249,,1.4602481126785278,,23,,,
,1.638918161392212,4,,1,1.0803407430648804,,1.4713449478149414,,24,,,
8.828938007354736e-05,1.7774810791015625,4,,1,1.094465970993042,0.005528926849365234,1.5781937837600708,,25,,,
,1.6012182235717773,5,,1,1.052045464515686,,1.4364663362503052,,26,,,
,1.6442197561264038,6,,1,1.0536384582519531,,1.4670453071594238,,27,,,
9.278953075408936e-05,1.7645803689956665,6,,1,1.072532296180725,0.008672475814819336,1.565731167793274,,28,,,
,1.6095728874206543,7,,1,1.0009211301803589,,1.4269773960113525,,29,,,
,1.619551181793213,8,,1,0.9993009567260742,,1.4334760904312134,,30,,,
0.00013574957847595215,1.7546502351760864,8,,1,1.0566354990005493,0.012095272541046143,1.5574769973754883,,31,,,
,1.532991886138916,9,,1,0.939996063709259,,1.3550931215286255,,32,,,
,1.6138522624969482,10,,1,0.9857228398323059,,1.4254134893417358,,33,,,
0.00010088831186294556,1.8248180150985718,10,,1,1.0176841020584106,0.015004277229309082,1.5977829694747925,,34,,,
,,,,1,,,,,35,1.5028109550476074,0.7272727489471436,1.3842074871063232
,,,42,,,,,2030,36,,,
