bag_loss,batch,buffer_size,epoch,inst_loss,loss,n_patches_in_buffer,step,train_loss_epoch,val_acc_epoch,val_loss_epoch
0.6683520674705505,0,,0,1.2596603631973267,0.8457446098327637,,0,,,
0.6695392727851868,1,,0,1.250065565109253,0.843697190284729,,1,,,
0.6579251885414124,2,,0,1.2531287670135498,0.836486279964447,,2,,,
0.6623628735542297,3,,0,1.2818474769592285,0.8482083082199097,,3,,,
0.6565318703651428,4,,0,1.2795006036758423,0.843422532081604,,4,,,
0.6733173131942749,5,,0,1.2620831727981567,0.8499470949172974,,5,,,
0.6309988498687744,6,,0,1.2683268785476685,0.8221972584724426,,6,,,
0.7768000364303589,7,,0,1.3055930137634277,0.9354379177093506,,7,,,
0.7803841829299927,8,,0,1.2935380935668945,0.9343303442001343,,8,,,
0.7696683406829834,9,,0,1.2996318340301514,0.9286574125289917,,9,,,
0.7687884569168091,10,,0,1.3133482933044434,0.9321564435958862,,10,,,
,,,0,,,,11,0.8745713829994202,1.0,0.8150342702865601
0.6230788230895996,0,,1,1.2689474821090698,0.8168394565582275,,12,,,
0.6209110021591187,1,,1,1.2599984407424927,0.812637209892273,,13,,,
0.6182773113250732,2,,1,1.2258236408233643,0.8005412220954895,,14,,,
0.7845989465713501,3,,1,1.3018052577972412,0.9397608041763306,,15,,,
0.61282879114151,4,,1,1.2296806573867798,0.7978843450546265,,16,,,
0.6276750564575195,5,,1,1.2291388511657715,0.8081141710281372,,17,,,
0.7641950249671936,6,,1,1.29719877243042,0.9240961074829102,,18,,,
0.6306799054145813,7,,1,1.2457315921783447,0.8151954412460327,,19,,,
0.7741286754608154,8,,1,1.3059663772583008,0.9336800575256348,,20,,,
0.7940511703491211,9,,1,1.29349946975708,0.9438856840133667,,21,,,
0.7868645787239075,10,,1,1.2899010181427002,0.9377754926681519,,22,,,
,,,1,,,,23,0.8664008975028992,1.0,0.8027250170707703
,,3,,,,142,24,,,
