attn_loss,bag_loss,batch,buffer_size,epoch,inst_loss,logits_loss,loss,n_patches_in_buffer,step,train_loss_epoch,val_acc_epoch,val_loss_epoch
,1.4862027168273926,0,,0,1.1850887537002563,,1.3958685398101807,,0,,,
5.854666233062744e-05,1.2532696723937988,0,,0,1.2113838195800781,5.662441253662109e-06,1.2407681941986084,,1,,,
,1.447150707244873,1,,0,1.1999510526657104,,1.3729908466339111,,2,,,
,1.3276411294937134,2,,0,1.1570930480957031,,1.2764766216278076,,3,,,
,1.4121296405792236,3,,0,1.1775885820388794,,1.3417673110961914,,4,,,
,1.4251108169555664,4,,0,1.1633269786834717,,1.3465756177902222,,5,,,
3.212690353393555e-05,1.2738497257232666,4,,0,1.227806568145752,0.000591278076171875,1.260660171508789,,6,,,
,1.405320167541504,5,,0,1.1803369522094727,,1.3378251791000366,,7,,,
,1.3800348043441772,6,,0,1.1604470014572144,,1.3141584396362305,,8,,,
,1.3878600597381592,7,,0,1.117637038230896,,1.3067930936813354,,9,,,
8.017569780349731e-05,1.224287986755371,7,,0,1.2020630836486816,0.0024881958961486816,1.220189094543457,,10,,,
,1.372377634048462,8,,0,1.155393362045288,,1.3072823286056519,,11,,,
,1.345349907875061,9,,0,1.1303268671035767,,1.2808430194854736,,12,,,
,1.3423937559127808,10,,0,1.0990190505981445,,1.2693812847137451,,13,,,
,,,,0,,,,,14,1.3051128387451172,0.0,1.2756264209747314
,1.3595905303955078,0,,1,1.1683924198150635,,1.3022310733795166,,15,,,
5.482137203216553e-05,1.2213083505630493,0,,1,1.1761523485183716,0.004985332489013672,1.2128016948699951,,16,,,
,1.3369412422180176,1,,1,1.1168667078018188,,1.270918846130371,,17,,,
,1.3306937217712402,2,,1,1.0815085172653198,,1.255938172340393,,18,,,
,1.306717872619629,3,,1,1.1068127155303955,,1.246746301651001,,19,,,
,1.3287111520767212,4,,1,1.0797019004821777,,1.254008412361145,,20,,,
8.828192949295044e-05,1.7388017177581787,4,,1,1.1828913688659668,0.011810660362243652,1.5839276313781738,,21,,,
,1.2850308418273926,5,,1,1.092430830001831,,1.2272508144378662,,22,,,
,1.3049949407577515,6,,1,1.0614053010940552,,1.2319180965423584,,23,,,
,1.3171989917755127,7,,1,1.0394916534423828,,1.23388671875,,24,,,
0.00010734051465988159,1.7983452081680298,7,,1,1.13681161403656,0.010551214218139648,1.6105436086654663,,25,,,
,1.3015658855438232,8,,1,1.0336339473724365,,1.2211862802505493,,26,,,
,1.2831331491470337,9,,1,1.0244413614273071,,1.2055256366729736,,27,,,
,1.299517035484314,10,,1,1.0967745780944824,,1.2386943101882935,,28,,,
,,,,1,,,,,29,1.2925413846969604,0.1818181872367859,1.2245768308639526
,,,42,,,,,1992,30,,,
