attn_loss,bag_loss,batch,buffer_size,epoch,inst_loss,logits_loss,loss,n_patches_in_buffer,step,train_loss_epoch,val_acc_epoch,val_loss_epoch
,1.7589199542999268,0,,0,1.2896569967269897,,1.6181410551071167,,0,,,
3.390014171600342e-05,1.8822904825210571,0,,0,1.287329077720642,4.76837158203125e-06,1.703840732574463,,1,,,
,1.7554173469543457,1,,0,1.285332202911377,,1.614391803741455,,2,,,
,1.8190171718597412,2,,0,1.268081545829773,,1.6537364721298218,,3,,,
,1.7894376516342163,3,,0,1.2712907791137695,,1.6339936256408691,,4,,,
,1.8210217952728271,4,,0,1.246631383895874,,1.6487046480178833,,5,,,
,1.7794122695922852,5,,0,1.2680193185806274,,1.625994324684143,,6,,,
,1.745458960533142,6,,0,1.2977968454360962,,1.611160397529602,,7,,,
,1.7734546661376953,7,,0,1.2598731517791748,,1.619380235671997,,8,,,
,1.7473669052124023,8,,0,1.283565878868103,,1.6082265377044678,,9,,,
,1.7415330410003662,9,,0,1.2637381553649902,,1.5981944799423218,,10,,,
,1.784171462059021,10,,0,1.24756920337677,,1.6231907606124878,,11,,,
,,,,0,,,,,12,1.6299128532409668,0.0,1.6192810535430908
,1.7746680974960327,0,,1,1.269278883934021,,1.6230512857437134,,13,,,
3.8743019104003906e-05,1.8785288333892822,0,,1,1.2850457429885864,3.337860107421875e-05,1.7005560398101807,,14,,,
,1.7352560758590698,1,,1,1.275713562965393,,1.597393274307251,,15,,,
,1.772663950920105,2,,1,1.2536026239395142,,1.616945505142212,,16,,,
,1.7745506763458252,3,,1,1.269350528717041,,1.622990608215332,,17,,,
,1.7463724613189697,4,,1,1.2804111242294312,,1.606584072113037,,18,,,
,1.7467576265335083,5,,1,1.2814866304397583,,1.6071763038635254,,19,,,
,1.7606432437896729,6,,1,1.2504942417144775,,1.6075985431671143,,20,,,
,1.7125318050384521,7,,1,1.2798570394515991,,1.5827293395996094,,21,,,
,1.7753398418426514,8,,1,1.2764841318130493,,1.6256831884384155,,22,,,
,1.7447233200073242,9,,1,1.270962119102478,,1.6025949716567993,,23,,,
,1.7640361785888672,10,,1,1.248130202293396,,1.6092643737792969,,24,,,
,,,,1,,,,,25,1.6168805360794067,0.1818181872367859,1.609560489654541
,,,3,,,,,142,26,,,
