attn_loss,bag_loss,batch,epoch,inst_loss,logits_loss,loss,step,train_loss_epoch,val_acc_epoch,val_loss_epoch
,3.2756049633026123,0,0,1.1111408472061157,,2.62626576423645,0,,,
0.12692400813102722,0.4872169494628906,0,0,0.763739287853241,0.0109785795211792,0.7080762386322021,1,,,
,4.076826095581055,1,0,1.5456905364990234,,3.3174853324890137,2,,,
,1.4500068426132202,2,0,0.9757933616638184,,1.3077428340911865,3,,,
,1.9654159545898438,3,0,0.6706942915916443,,1.5769994258880615,4,,,
,1.9205394983291626,4,0,0.8655974268913269,,1.6040568351745605,5,,,
0.29556822776794434,0.10860773175954819,4,0,1.1689573526382446,0.16241665929555893,0.8846975564956665,6,,,
,2.7099430561065674,5,0,1.254433035850525,,2.2732901573181152,7,,,
,3.3388476371765137,6,0,1.2427252531051636,,2.7100107669830322,8,,,
,3.054011821746826,7,0,1.2047368288040161,,2.4992294311523438,9,,,
,4.63808536529541,8,0,1.2571296691894531,,3.6237986087799072,10,,,
0.20658032596111298,0.19020268321037292,8,0,0.7574179172515869,0.0013000518083572388,0.5682476162910461,11,,,
,2.882992744445801,9,0,0.8908765316009521,,2.285357713699341,12,,,
,2.630497455596924,10,0,1.1116441488265991,,2.1748414039611816,13,,,
,1.529054880142212,11,0,0.8454039096832275,,1.3239595890045166,14,,,
0.2449730634689331,0.03922273963689804,11,0,0.6338463425636292,0.02261962741613388,0.48520252108573914,15,,,
,3.8445868492126465,12,0,1.3670669794082642,,3.1013307571411133,16,,,
,3.3436946868896484,13,0,0.9183740615844727,,2.616098403930664,17,,,
,1.922757863998413,14,0,0.7759702801704407,,1.578721523284912,18,,,
,1.9143455028533936,15,0,1.181519865989685,,1.69449782371521,19,,,
0.19061991572380066,0.026301143690943718,15,0,0.5671913623809814,0.004748180508613586,0.3839362859725952,20,,,
,1.9628863334655762,16,0,0.7884566783905029,,1.6105574369430542,21,,,
,2.015420436859131,17,0,0.9497380256652832,,1.6957156658172607,22,,,
,1.7970545291900635,18,0,0.7674296498298645,,1.4881670475006104,23,,,
,3.1700944900512695,19,0,1.1493710279464722,,2.563877582550049,24,,,
0.19983302056789398,0.05971013382077217,19,0,0.5435979962348938,0.024644173681735992,0.4293536841869354,25,,,
,2.746798515319824,20,0,0.9416970610618591,,2.205268144607544,26,,,
,1.886603832244873,21,0,0.7061627507209778,,1.5324715375900269,27,,,
,4.22283935546875,22,0,1.546172022819519,,3.4198391437530518,28,,,
0.16154488921165466,0.05572962388396263,22,0,0.5159148573875427,0.04965588450431824,0.4049859642982483,29,,,
,1.7702995538711548,23,0,0.7854050993919373,,1.474831223487854,30,,,
,2.011460304260254,24,0,0.7858898043632507,,1.6437890529632568,31,,,
,4.391256332397461,25,0,1.5414177179336548,,3.5363047122955322,32,,,
,2.3315224647521973,26,0,1.0794390439987183,,1.955897331237793,33,,,
0.19058191776275635,0.3002321124076843,26,0,0.6922810673713684,0.6917418539524078,1.3001705408096313,34,,,
,1.5861371755599976,27,0,0.7402674555778503,,1.33237624168396,35,,,
,1.7546038627624512,28,0,0.6870186924934387,,1.434328317642212,36,,,
,2.217751979827881,29,0,0.8983230590820312,,1.8219232559204102,37,,,
,1.5432296991348267,30,0,0.7309568524360657,,1.299547791481018,38,,,
0.15412962436676025,1.847533106803894,30,0,0.8987570405006409,0.5976821482181549,2.3147120475769043,39,,,
,1.687828540802002,31,0,0.7552363276481628,,1.408050775527954,40,,,
,1.8574196100234985,32,0,0.7013488411903381,,1.5105983018875122,41,,,
,1.5314452648162842,33,0,0.6814846992492676,,1.2764570713043213,42,,,
0.2063334882259369,0.009992810897529125,33,0,0.41088905930519104,0.0029081571847200394,0.33950334787368774,43,,,
,1.4940378665924072,34,0,0.703667163848877,,1.2569265365600586,44,,,
,4.026676654815674,35,0,0.9835702776908875,,3.1137447357177734,45,,,
,1.9598314762115479,36,0,0.8592724204063416,,1.6296637058258057,46,,,
,2.8170557022094727,37,0,0.7367871403694153,,2.1929750442504883,47,,,
0.27099236845970154,0.031177783384919167,37,0,0.3979976177215576,0.02259043976664543,0.4348065257072449,48,,,
,2.849128007888794,38,0,0.9411229491233826,,2.276726484298706,49,,,
,1.902735948562622,39,0,0.6453614234924316,,1.5255235433578491,50,,,
,1.826117753982544,40,0,0.6425230503082275,,1.4710392951965332,51,,,
,3.555976152420044,41,0,1.3314714431762695,,2.888624668121338,52,,,
0.2776298224925995,0.8367164134979248,41,0,0.6495130658149719,0.5826041102409363,1.640789270401001,53,,,
,3.1210997104644775,42,0,0.7050266265869141,,2.396277904510498,54,,,
,1.4171104431152344,43,0,0.6395897269248962,,1.1838542222976685,55,,,
,2.5390305519104004,44,0,0.8483919501304626,,2.031838893890381,56,,,
0.3474152088165283,0.1266316920518875,44,0,0.7507903575897217,0.2705364115536213,0.9318309426307678,57,,,
,1.4028618335723877,45,0,0.6783815026283264,,1.1855177879333496,58,,,
,2.3542075157165527,46,0,0.7950214743614197,,1.8864517211914062,59,,,
,1.766287088394165,47,0,0.8371617197990417,,1.4875495433807373,60,,,
,2.5084965229034424,48,0,0.8811137080192566,,2.0202817916870117,61,,,
0.21197821199893951,0.08782168477773666,48,0,0.4294634759426117,0.19660856574773788,0.5989010334014893,62,,,
,1.7463536262512207,49,0,0.6085034012794495,,1.404998540878296,63,,,
,1.272635817527771,50,0,0.6201486587524414,,1.0768896341323853,64,,,
,1.3518993854522705,51,0,0.5971364378929138,,1.125470519065857,65,,,
0.18794551491737366,0.08367064595222473,51,0,0.5098506808280945,0.04634834825992584,0.4458184838294983,66,,,
,1.5735057592391968,52,0,0.6822872161865234,,1.3061401844024658,67,,,
,1.5325384140014648,53,0,0.5451961159706116,,1.2363357543945312,68,,,
,1.5213444232940674,54,0,0.6180926561355591,,1.2503688335418701,69,,,
,1.5048913955688477,55,0,0.5708088874816895,,1.224666714668274,70,,,
0.30040544271469116,1.9574052095413208,55,0,0.8638384342193604,3.155660033226013,5.085400581359863,71,,,
,1.3217777013778687,56,0,0.6650387644767761,,1.1247559785842896,72,,,
,1.238019585609436,57,0,0.5806424617767334,,1.0408064126968384,73,,,
,1.338947057723999,58,0,0.6189687848091125,,1.1229536533355713,74,,,
